name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"MAKE UP REMOVER BALM","MAKE UP REMOVER BALM","MAKE UP REMOVER BALM","","LAFZ","LAFZ",208.33,"PCS",available,3,18,pcs,1,JA
"MAKEUP EYEBROW COMB","MAKEUP EYEBROW COMB","MAKEUP EYEBROW COMB","","GUBB","GUBB",162.08,"PCS",available,5,18,pcs,1,JA
"BK COCONUT OIL 100ML","BK COCONUT OIL 100ML","COCONUT OIL 100ML","","AROMA MAGIC","AROMA MAGIC",154.76,"100ML",available,5,5,pcs,1,JA
"BK SUNSCREEN BODY LOTION","BK SUNSCREEN BODY LOTION","SUNSCREEN BODY LOTION","","AROMA MAGIC","AROMA MAGIC",490.82,"200ML",available,4,18,pcs,1,JA
"KAI RAZOR KAMISORI 3B+2C","KAI RAZOR KAMISORI 3B+2C","KAI RAZOR KAMISORI 3B+2C","","KAI","KAI",126.48,"PCS",available,9,18,pcs,1,JA
"BY NUTTY FRUTY 6PC PACK","BY NUTTY FRUTY 6PC PACK","BY NUTTY FRUTY 6PC PACK","","BAGRRY","BAGRRY",81.99,"6PC PACK",available,11,5,pcs,1,JA
"TCLEANER COOPER LOOP","TCLEANER COOPER LOOP","TONGUE CLEANER COOPER LOOP","","GUBB","GUBB",155.72,"PCS",available,81,18,pcs,1,JA
"TCLEANER METAL LOOP","TCLEANER METAL LOOP","TONGUE CLEANER METAL LOOP","","GUBB","GUBB",130.3,"PCS",available,158,18,pcs,1,JA
"BK JEWEL KIT BOX","BK JEWEL KIT BOX","JEWEL KIT BOX","","AROMA MAGIC","AROMA MAGIC",2824.86,"PKBOX",available,2,18,pcs,1,JA
"BO COTTON SWABS JAR","BO COTTON SWABS JAR","BONNE COTTON SWABS JAR","","BONNE","BONNE",59.5,"PCS",available,9,5,pcs,1,JA
"BK SERUM SQUALANE 30ML","BK SERUM SQUALANE 30ML","SERUM SQUALANE 30ML","","AROMA MAGIC","AROMA MAGIC",420.2,"30ML",available,9,18,pcs,1,JA
"BK SERUM HYALURONIC 30ML","BK SERUM HYALURONIC 30ML","SERUM HYALURONIC 30ML","","AROMA MAGIC","AROMA MAGIC",420.2,"30ML",available,2,18,pcs,1,JA
"BK NEEM&TEA TREE 200ML","BK NEEM&TEA TREE 200ML","NEEM&TEA TREE 200ML","","AROMA MAGIC","AROMA MAGIC",218.93,"100ML",outOfStock,0,18,pcs,1,JA
"DU LUVLAP M  2PCS","DU LUVLAP M  2PCS","DU LUVLAP M  2PCS","","DURACELL","DURACELL",17.14,"BLISTER",available,55,5,pcs,1,JA
"DU PASTA ELBOW 500G","DU PASTA ELBOW 500G","DU PASTA ELBOW 500G","","DURACELL","DURACELL",138.89,"500G",outOfStock,0,5,pcs,1,JA
